"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 06 14:41:56 GMT 2024","Mon May 06 14:41:56 GMT 2024","348","PlaywrightAutoTests","ChromiumTests","org.playground.ProductsTest","org.playground.ProductsTest","checkSorting","checkSorting",""
"passed","Mon May 06 14:42:19 GMT 2024","Mon May 06 14:42:19 GMT 2024","178","PlaywrightAutoTests","SafariTests","org.playground.CheckoutPersonTest","org.playground.CheckoutPersonTest","continueCheck","continueCheck",""
"passed","Mon May 06 14:42:13 GMT 2024","Mon May 06 14:42:13 GMT 2024","72","PlaywrightAutoTests","ChromeTests","org.playground.CartPageTest","org.playground.CartPageTest","checkoutCheck","checkoutCheck",""
"passed","Mon May 06 14:41:45 GMT 2024","Mon May 06 14:41:45 GMT 2024","430","PlaywrightAutoTests","EdgeTests","org.playground.AuthenticationTest","org.playground.AuthenticationTest","negativeLogin","negativeLogin",""
"passed","Mon May 06 14:42:19 GMT 2024","Mon May 06 14:42:19 GMT 2024","127","PlaywrightAutoTests","SafariTests","org.playground.CheckoutPersonTest","org.playground.CheckoutPersonTest","negativeLogin","negativeLogin",""
"passed","Mon May 06 14:41:53 GMT 2024","Mon May 06 14:41:54 GMT 2024","261","PlaywrightAutoTests","ChromeTests","org.playground.ProductsTest","org.playground.ProductsTest","addAndRemoveItemsFromProducts","addAndRemoveItemsFromProducts",""
"passed","Mon May 06 14:42:06 GMT 2024","Mon May 06 14:42:07 GMT 2024","936","PlaywrightAutoTests","FirefoxTests","org.playground.BurgerMenuTest","org.playground.BurgerMenuTest","checkResetAppState","checkResetAppState",""
"passed","Mon May 06 14:41:52 GMT 2024","Mon May 06 14:41:53 GMT 2024","1019","PlaywrightAutoTests","ChromiumTests","org.playground.ProductsTest","org.playground.ProductsTest","addAndRemoveItemsFromProduct","addAndRemoveItemsFromProduct",""
"passed","Mon May 06 14:41:45 GMT 2024","Mon May 06 14:41:46 GMT 2024","353","PlaywrightAutoTests","EdgeTests","org.playground.AuthenticationTest","org.playground.AuthenticationTest","negativeLogin","negativeLogin",""
"passed","Mon May 06 14:41:54 GMT 2024","Mon May 06 14:41:55 GMT 2024","1610","PlaywrightAutoTests","ChromiumTests","org.playground.ProductsTest","org.playground.ProductsTest","checkProductDetails","checkProductDetails",""
"passed","Mon May 06 14:42:02 GMT 2024","Mon May 06 14:42:02 GMT 2024","605","PlaywrightAutoTests","EdgeTests","org.playground.BurgerMenuTest","org.playground.BurgerMenuTest","checkAllItems","checkAllItems",""
"passed","Mon May 06 14:41:56 GMT 2024","Mon May 06 14:41:56 GMT 2024","199","PlaywrightAutoTests","ChromiumTests","org.playground.ProductsTest","org.playground.ProductsTest","checkSorting","checkSorting",""
"passed","Mon May 06 14:41:43 GMT 2024","Mon May 06 14:41:44 GMT 2024","597","PlaywrightAutoTests","SafariTests","org.playground.AuthenticationTest","org.playground.AuthenticationTest","login","login",""
"passed","Mon May 06 14:41:44 GMT 2024","Mon May 06 14:41:44 GMT 2024","607","PlaywrightAutoTests","ChromiumTests","org.playground.AuthenticationTest","org.playground.AuthenticationTest","negativeLogin","negativeLogin",""
"passed","Mon May 06 14:41:44 GMT 2024","Mon May 06 14:41:44 GMT 2024","619","PlaywrightAutoTests","SafariTests","org.playground.AuthenticationTest","org.playground.AuthenticationTest","negativeLogin","negativeLogin",""
"passed","Mon May 06 14:42:15 GMT 2024","Mon May 06 14:42:15 GMT 2024","0","PlaywrightAutoTests","ChromiumTests","org.playground.CheckoutPersonTest","org.playground.CheckoutPersonTest","negativeMaximumLengthTest","negativeMaximumLengthTest",""
"passed","Mon May 06 14:42:03 GMT 2024","Mon May 06 14:42:04 GMT 2024","1018","PlaywrightAutoTests","FirefoxTests","org.playground.BurgerMenuTest","org.playground.BurgerMenuTest","checkAllItems","checkAllItems",""
"passed","Mon May 06 14:41:45 GMT 2024","Mon May 06 14:41:46 GMT 2024","542","PlaywrightAutoTests","ChromiumTests","org.playground.AuthenticationTest","org.playground.AuthenticationTest","negativeLogin","negativeLogin",""
