"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 06 14:46:45 GMT 2024","Mon May 06 14:46:45 GMT 2024","79","PlaywrightAutoTests","FirefoxTests","org.playground.CheckoutPersonTest","org.playground.CheckoutPersonTest","negativeLogin","negativeLogin",""
"passed","Mon May 06 14:46:28 GMT 2024","Mon May 06 14:46:28 GMT 2024","77","PlaywrightAutoTests","ChromeTests","org.playground.CheckoutPersonTest","org.playground.CheckoutPersonTest","cancelCheck","cancelCheck",""
"passed","Mon May 06 14:46:01 GMT 2024","Mon May 06 14:46:01 GMT 2024","654","PlaywrightAutoTests","FirefoxTests","org.playground.AuthenticationTest","org.playground.AuthenticationTest","negativeLogin","negativeLogin",""
"passed","Mon May 06 14:45:58 GMT 2024","Mon May 06 14:45:59 GMT 2024","1152","PlaywrightAutoTests","ChromeTests","org.playground.AuthenticationTest","org.playground.AuthenticationTest","login","login",""
"passed","Mon May 06 14:46:08 GMT 2024","Mon May 06 14:46:08 GMT 2024","143","PlaywrightAutoTests","SafariTests","org.playground.ProductsTest","org.playground.ProductsTest","checkSorting","checkSorting",""
"passed","Mon May 06 14:46:44 GMT 2024","Mon May 06 14:46:44 GMT 2024","60","PlaywrightAutoTests","FirefoxTests","org.playground.CheckoutPersonTest","org.playground.CheckoutPersonTest","cancelCheck","cancelCheck",""
"passed","Mon May 06 14:46:07 GMT 2024","Mon May 06 14:46:07 GMT 2024","25","PlaywrightAutoTests","EdgeTests","org.playground.ProductsTest","org.playground.ProductsTest","checkPageStructure","checkPageStructure",""
"passed","Mon May 06 14:46:08 GMT 2024","Mon May 06 14:46:08 GMT 2024","142","PlaywrightAutoTests","EdgeTests","org.playground.ProductsTest","org.playground.ProductsTest","checkSorting","checkSorting",""
"passed","Mon May 06 14:46:31 GMT 2024","Mon May 06 14:46:31 GMT 2024","121","PlaywrightAutoTests","ChromiumTests","org.playground.CheckoutPersonTest","org.playground.CheckoutPersonTest","negativeLogin","negativeLogin",""
"passed","Mon May 06 14:46:08 GMT 2024","Mon May 06 14:46:08 GMT 2024","206","PlaywrightAutoTests","ChromiumTests","org.playground.ProductsTest","org.playground.ProductsTest","checkSorting","checkSorting",""
"passed","Mon May 06 14:46:14 GMT 2024","Mon May 06 14:46:15 GMT 2024","903","PlaywrightAutoTests","ChromiumTests","org.playground.BurgerMenuTest","org.playground.BurgerMenuTest","checkResetAppState","checkResetAppState",""
"passed","Mon May 06 14:46:08 GMT 2024","Mon May 06 14:46:08 GMT 2024","107","PlaywrightAutoTests","ChromiumTests","org.playground.ProductsTest","org.playground.ProductsTest","checkSorting","checkSorting",""
"passed","Mon May 06 14:46:07 GMT 2024","Mon May 06 14:46:07 GMT 2024","162","PlaywrightAutoTests","ChromiumTests","org.playground.ProductsTest","org.playground.ProductsTest","addAndRemoveItemsFromProducts","addAndRemoveItemsFromProducts",""
"passed","Mon May 06 14:46:00 GMT 2024","Mon May 06 14:46:01 GMT 2024","666","PlaywrightAutoTests","ChromeTests","org.playground.AuthenticationTest","org.playground.AuthenticationTest","negativeLogin","negativeLogin",""
"passed","Mon May 06 14:46:28 GMT 2024","Mon May 06 14:46:28 GMT 2024","111","PlaywrightAutoTests","ChromeTests","org.playground.CheckoutPersonTest","org.playground.CheckoutPersonTest","continueCheck","continueCheck",""
"passed","Mon May 06 14:46:29 GMT 2024","Mon May 06 14:46:29 GMT 2024","1","PlaywrightAutoTests","ChromeTests","org.playground.CheckoutPersonTest","org.playground.CheckoutPersonTest","negativeMaximumLengthTest","negativeMaximumLengthTest",""
"passed","Mon May 06 14:46:28 GMT 2024","Mon May 06 14:46:28 GMT 2024","84","PlaywrightAutoTests","SafariTests","org.playground.CartPageTest","org.playground.CartPageTest","cartItemsCheck","cartItemsCheck",""
"passed","Mon May 06 14:45:56 GMT 2024","Mon May 06 14:45:58 GMT 2024","2100","PlaywrightAutoTests","ChromiumTests","org.playground.AuthenticationTest","org.playground.AuthenticationTest","checkPageStructure","checkPageStructure",""
