"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 15 12:44:41 GMT 2024","Fri Mar 15 12:44:42 GMT 2024","1199","PlaywrightAutoTests","ChromeTests","org.playground.BurgerMenuTest","org.playground.BurgerMenuTest","checkLogout","checkLogout",""
"passed","Fri Mar 15 12:43:48 GMT 2024","Fri Mar 15 12:43:49 GMT 2024","776","PlaywrightAutoTests","ChromiumTests","org.playground.AuthenticationTest","org.playground.AuthenticationTest","negativeLogin","negativeLogin",""
"passed","Fri Mar 15 12:44:32 GMT 2024","Fri Mar 15 12:44:32 GMT 2024","121","PlaywrightAutoTests","ChromeTests","org.playground.ProductsTest","org.playground.ProductsTest","checkSorting","checkSorting",""
"passed","Fri Mar 15 12:44:44 GMT 2024","Fri Mar 15 12:44:45 GMT 2024","934","PlaywrightAutoTests","SafariTests","org.playground.BurgerMenuTest","org.playground.BurgerMenuTest","checkResetAppState","checkResetAppState",""
"passed","Fri Mar 15 12:44:47 GMT 2024","Fri Mar 15 12:44:47 GMT 2024","151","PlaywrightAutoTests","SafariTests","org.playground.CartPageTest","org.playground.CartPageTest","removeCartItemCheck","removeCartItemCheck",""
"passed","Fri Mar 15 12:44:51 GMT 2024","Fri Mar 15 12:44:52 GMT 2024","1449","PlaywrightAutoTests","EdgeTests","org.playground.CheckoutE2ETest","org.playground.CheckoutE2ETest","orderCheckoutE2E","orderCheckoutE2E",""
"passed","Fri Mar 15 12:44:12 GMT 2024","Fri Mar 15 12:44:13 GMT 2024","930","PlaywrightAutoTests","ChromiumTests","org.playground.BurgerMenuTest","org.playground.BurgerMenuTest","checkLogout","checkLogout",""
"passed","Fri Mar 15 12:43:49 GMT 2024","Fri Mar 15 12:43:50 GMT 2024","984","PlaywrightAutoTests","EdgeTests","org.playground.AuthenticationTest","org.playground.AuthenticationTest","negativeLogin","negativeLogin",""
"passed","Fri Mar 15 12:44:32 GMT 2024","Fri Mar 15 12:44:32 GMT 2024","147","PlaywrightAutoTests","FirefoxTests","org.playground.ProductsTest","org.playground.ProductsTest","checkSorting","checkSorting",""
"passed","Fri Mar 15 12:44:44 GMT 2024","Fri Mar 15 12:44:45 GMT 2024","932","PlaywrightAutoTests","ChromeTests","org.playground.BurgerMenuTest","org.playground.BurgerMenuTest","checkResetAppState","checkResetAppState",""
"passed","Fri Mar 15 12:45:13 GMT 2024","Fri Mar 15 12:45:13 GMT 2024","876","PlaywrightAutoTests","ChromeTests","org.playground.CheckoutE2ETest","org.playground.CheckoutE2ETest","orderCheckoutE2E","orderCheckoutE2E",""
"passed","Fri Mar 15 12:44:08 GMT 2024","Fri Mar 15 12:44:08 GMT 2024","394","PlaywrightAutoTests","ChromiumTests","org.playground.ProductsTest","org.playground.ProductsTest","addAndRemoveItemsFromProduct","addAndRemoveItemsFromProduct",""
"passed","Fri Mar 15 12:44:37 GMT 2024","Fri Mar 15 12:44:38 GMT 2024","1079","PlaywrightAutoTests","ChromeTests","org.playground.BurgerMenuTest","org.playground.BurgerMenuTest","checkAbout","checkAbout",""
"passed","Fri Mar 15 12:44:09 GMT 2024","Fri Mar 15 12:44:09 GMT 2024","58","PlaywrightAutoTests","ChromiumTests","org.playground.ProductsTest","org.playground.ProductsTest","checkSorting","checkSorting",""
"passed","Fri Mar 15 12:45:12 GMT 2024","Fri Mar 15 12:45:12 GMT 2024","64","PlaywrightAutoTests","ChromeTests","org.playground.CheckoutPersonTest","org.playground.CheckoutPersonTest","negativeLogin","negativeLogin",""
"passed","Fri Mar 15 12:44:52 GMT 2024","Fri Mar 15 12:44:52 GMT 2024","93","PlaywrightAutoTests","FirefoxTests","org.playground.CheckoutPersonTest","org.playground.CheckoutPersonTest","continueCheck","continueCheck",""
"passed","Fri Mar 15 12:44:17 GMT 2024","Fri Mar 15 12:44:17 GMT 2024","71","PlaywrightAutoTests","ChromiumTests","org.playground.CheckoutPersonTest","org.playground.CheckoutPersonTest","negativeLogin","negativeLogin",""
"passed","Fri Mar 15 12:44:13 GMT 2024","Fri Mar 15 12:44:13 GMT 2024","9","PlaywrightAutoTests","ChromiumTests","org.playground.BurgerMenuTest","org.playground.BurgerMenuTest","checkMenuStructure","checkMenuStructure",""
"passed","Fri Mar 15 12:44:37 GMT 2024","Fri Mar 15 12:44:39 GMT 2024","1207","PlaywrightAutoTests","SafariTests","org.playground.BurgerMenuTest","org.playground.BurgerMenuTest","checkAbout","checkAbout",""
"passed","Fri Mar 15 12:44:32 GMT 2024","Fri Mar 15 12:44:32 GMT 2024","150","PlaywrightAutoTests","ChromeTests","org.playground.ProductsTest","org.playground.ProductsTest","checkSorting","checkSorting",""
"passed","Fri Mar 15 12:44:50 GMT 2024","Fri Mar 15 12:44:50 GMT 2024","0","PlaywrightAutoTests","EdgeTests","org.playground.CheckoutPersonTest","org.playground.CheckoutPersonTest","negativeMaximumLengthTest","negativeMaximumLengthTest",""
"passed","Fri Mar 15 12:44:52 GMT 2024","Fri Mar 15 12:44:52 GMT 2024","67","PlaywrightAutoTests","FirefoxTests","org.playground.CheckoutPersonTest","org.playground.CheckoutPersonTest","cancelCheck","cancelCheck",""
"passed","Fri Mar 15 12:44:31 GMT 2024","Fri Mar 15 12:44:31 GMT 2024","286","PlaywrightAutoTests","ChromeTests","org.playground.ProductsTest","org.playground.ProductsTest","addAndRemoveItemsFromProducts","addAndRemoveItemsFromProducts",""
"passed","Fri Mar 15 12:44:41 GMT 2024","Fri Mar 15 12:44:42 GMT 2024","1120","PlaywrightAutoTests","FirefoxTests","org.playground.BurgerMenuTest","org.playground.BurgerMenuTest","checkLogout","checkLogout",""
"passed","Fri Mar 15 12:44:31 GMT 2024","Fri Mar 15 12:44:31 GMT 2024","312","PlaywrightAutoTests","FirefoxTests","org.playground.ProductsTest","org.playground.ProductsTest","addAndRemoveItemsFromProducts","addAndRemoveItemsFromProducts",""
